rep,id,r,g,b,nm,power
0,0,255,255,255,384.0,2.199e-26
0,0,255,255,255,388.0,2.105e-26
0,0,255,255,255,392.0,1.976e-26
0,0,255,255,255,396.0,7.243e-07
0,0,255,255,255,400.0,1.6e-06
0,0,255,255,255,404.0,2.42e-06
0,0,255,255,255,408.0,2.08e-05
0,0,255,255,255,412.0,4.057e-05
0,0,255,255,255,416.0,0.0001029
0,0,255,255,255,420.0,0.0002556
0,0,255,255,255,424.0,0.0006062
0,0,255,255,255,428.0,0.001273
0,0,255,255,255,432.0,0.002538
0,0,255,255,255,436.0,0.00504
0,0,255,255,255,440.0,0.009333
0,0,255,255,255,444.0,0.01423
0,0,255,255,255,448.0,0.01617
0,0,255,255,255,452.0,0.01367
0,0,255,255,255,456.0,0.009815
0,0,255,255,255,460.0,0.007446
0,0,255,255,255,464.0,0.005533
0,0,255,255,255,468.0,0.00386
0,0,255,255,255,472.0,0.002764
0,0,255,255,255,476.0,0.002246
0,0,255,255,255,480.0,0.001971
0,0,255,255,255,484.0,0.001688
0,0,255,255,255,488.0,0.001543
0,0,255,255,255,492.0,0.001557
0,0,255,255,255,496.0,0.001687
0,0,255,255,255,500.0,0.00189
0,0,255,255,255,504.0,0.002181
0,0,255,255,255,508.0,0.002538
0,0,255,255,255,512.0,0.002919
0,0,255,255,255,516.0,0.003348
0,0,255,255,255,520.0,0.003807
0,0,255,255,255,524.0,0.004227
0,0,255,255,255,528.0,0.004594
0,0,255,255,255,532.0,0.004907
0,0,255,255,255,536.0,0.005045
0,0,255,255,255,540.0,0.005006
0,0,255,255,255,544.0,0.005014
0,0,255,255,255,548.0,0.00505
0,0,255,255,255,552.0,0.005011
0,0,255,255,255,556.0,0.004875
0,0,255,255,255,560.0,0.004738
0,0,255,255,255,564.0,0.004578
0,0,255,255,255,568.0,0.004289
0,0,255,255,255,572.0,0.00377
0,0,255,255,255,576.0,0.00332
0,0,255,255,255,580.0,0.003106
0,0,255,255,255,584.0,0.003114
0,0,255,255,255,588.0,0.003285
0,0,255,255,255,592.0,0.003511
0,0,255,255,255,596.0,0.003656
0,0,255,255,255,600.0,0.003746
0,0,255,255,255,604.0,0.0037
0,0,255,255,255,608.0,0.003483
0,0,255,255,255,612.0,0.00316
0,0,255,255,255,616.0,0.00284
0,0,255,255,255,620.0,0.002521
0,0,255,255,255,624.0,0.002275
0,0,255,255,255,628.0,0.00205
0,0,255,255,255,632.0,0.001877
0,0,255,255,255,636.0,0.001707
0,0,255,255,255,640.0,0.001551
0,0,255,255,255,644.0,0.001403
0,0,255,255,255,648.0,0.001245
0,0,255,255,255,652.0,0.00113
0,0,255,255,255,656.0,0.00101
0,0,255,255,255,660.0,0.0009009
0,0,255,255,255,664.0,0.0007862
0,0,255,255,255,668.0,0.0006926
0,0,255,255,255,672.0,0.0006259
0,0,255,255,255,676.0,0.0005506
0,0,255,255,255,680.0,0.0004925
0,0,255,255,255,684.0,0.0004309
0,0,255,255,255,688.0,0.0003857
0,0,255,255,255,692.0,0.0003456
0,0,255,255,255,696.0,0.0003063
0,0,255,255,255,700.0,0.0002846
0,0,255,255,255,704.0,0.0002206
0,0,255,255,255,708.0,0.0002039
0,0,255,255,255,712.0,0.0001797
0,0,255,255,255,716.0,0.0001812
0,0,255,255,255,720.0,0.0001104
0,0,255,255,255,724.0,8.144e-05
0,0,255,255,255,728.0,5.466e-05
0,0,255,255,255,732.0,4.484e-05
0,0,255,255,255,736.0,7.532e-06
0,0,255,255,255,740.0,5.144e-26
0,0,255,255,255,744.0,5.543e-26
0,0,255,255,255,748.0,3.993e-06
0,0,255,255,255,752.0,6.034e-07
0,0,255,255,255,756.0,7.164e-26
0,0,255,255,255,760.0,7.847e-26
0,0,255,255,255,764.0,8.616e-26
0,0,255,255,255,768.0,9.461e-26
0,0,255,255,255,772.0,1.053e-25
0,0,255,255,255,776.0,1.172e-25
0,0,255,255,255,780.0,1.301e-25
0,1,0,0,0,384.0,1.103e-27
0,1,0,0,0,388.0,1.056e-27
0,1,0,0,0,392.0,9.915e-28
0,1,0,0,0,396.0,9.336e-28
0,1,0,0,0,400.0,8.707e-28
0,1,0,0,0,404.0,8.037e-28
0,1,0,0,0,408.0,7.415e-28
0,1,0,0,0,412.0,6.817e-28
